"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","3156","0.0-0.0","8168","8636860","[object Object]","[object Object]","1","","","","",""
"","html-keyboard-response","1","6881","0.0-1.0","8168","8636860","[object Object]","[object Object]","1","3712","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","29084","0.0-2.0","8168","8636860","[object Object]","[object Object]","1","22198","","","{""Q0"":""A1WZBK5PRHBW3H""}",""
"","html-button-response","3","31700","0.0-3.0","8168","8636860","[object Object]","[object Object]","1","2613","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","66404","0.0-4.0","8168","8636860","[object Object]","[object Object]","1","34701","","","{""Q0"":""56"",""Q1"":""USA"",""Q2"":""english"",""Q3"":""Technical School""}",""
"","survey-likert","5","70093","0.0-5.0","8168","8636860","[object Object]","[object Object]","1","3686","","","{""Q0"":0}",""
"","html-keyboard-response","6","76176","0.0-6.0","8168","8636860","[object Object]","[object Object]","1","6081","<p>During this experiment you will be shown 4 short videos of skeletal figures representing children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","106725","0.0-7.0-0.0","8168","8636860","[object Object]","[object Object]","1","","[""clips/2017-06-20-105505400084-showing.mp4""]","","",""
"","survey-text","8","138884","0.0-7.0-1.0","8168","8636860","[object Object]","[object Object]","1","32156","","","{""Q0"":""they seem to be moving things on a table""}",""
"","video","9","166758","0.0-7.0-0.1","8168","8636860","[object Object]","[object Object]","1","","[""clips/2017-06-13-140354392253-laugh.mp4""]","","",""
"","survey-text","10","206180","0.0-7.0-1.1","8168","8636860","[object Object]","[object Object]","1","39419","","","{""Q0"":""they are drawing or painting""}",""
"","video","11","231078","0.0-7.0-0.2","8168","8636860","[object Object]","[object Object]","1","","[""clips/2017-06-20-140956193720-showingfight.mp4""]","","",""
"","survey-text","12","250852","0.0-7.0-1.2","8168","8636860","[object Object]","[object Object]","1","19771","","","{""Q0"":""playing with something""}",""
"","video","13","280496","0.0-7.0-0.3","8168","8636860","[object Object]","[object Object]","1","","[""clips/2017-06-06-145135235899-independent.mp4""]","","",""
"","survey-text","14","296404","0.0-7.0-1.3","8168","8636860","[object Object]","[object Object]","1","15903","","","{""Q0"":""playing a board game""}",""
"","html-keyboard-response","15","302408","0.0-8.0","8168","8636860","[object Object]","[object Object]","1","6003","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you skeleton versions of videos of social interactions showing stick-men figures. <br /> Other participants will have watched the original videos of real people. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","32","",""
