"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","2448","0.0-0.0","2818","2316291","[object Object]","[object Object]","3","","","","",""
"","html-keyboard-response","1","5914","0.0-1.0","2818","2316291","[object Object]","[object Object]","3","3447","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","8113","0.0-2.0","2818","2316291","[object Object]","[object Object]","3","2188","","","{""Q0"":""ARN9ET3E608LJ""}",""
"","html-button-response","3","9182","0.0-3.0","2818","2316291","[object Object]","[object Object]","3","1057","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","32747","0.0-4.0","2818","2316291","[object Object]","[object Object]","3","23558","","","{""Q0"":""26"",""Q1"":""india"",""Q2"":""english"",""Q3"":""economics ""}",""
"","survey-likert","5","35543","0.0-5.0","2818","2316291","[object Object]","[object Object]","3","2769","","","{""Q0"":1}",""
"","html-keyboard-response","6","36607","0.0-6.0","2818","2316291","[object Object]","[object Object]","3","1057","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","73496","0.0-7.0-0.0","2818","2316291","[object Object]","[object Object]","3","","[""clips/raw-2017-06-23-104918496756-independent.mp4""]","","",""
"","survey-text","8","137326","0.0-7.0-1.0","2818","2316291","[object Object]","[object Object]","3","63823","","","{""Q0"":""palying samothing in a display""}",""
"","video","9","177540","0.0-7.0-0.1","2818","2316291","[object Object]","[object Object]","3","","[""clips/raw-2017-06-27-105946305604-laughing.mp4""]","","",""
"","survey-text","10","287013","0.0-7.0-1.1","2818","2316291","[object Object]","[object Object]","3","109467","","","{""Q0"":""they playing some game like they are enjoying ""}",""
"","video","11","322218","0.0-7.0-0.2","2818","2316291","[object Object]","[object Object]","3","","[""clips/raw-2017-06-13-140354392253-laugh.mp4""]","","",""
"","survey-text","12","458420","0.0-7.0-1.2","2818","2316291","[object Object]","[object Object]","3","136196","","","{""Q0"":""both are playing not intracting much but they are enjoying while playing this diaplsy""}",""
"","video","13","493960","0.0-7.0-0.3","2818","2316291","[object Object]","[object Object]","3","","[""clips/raw-2017-07-06-093740908665-demonstratemanhandle.mp4""]","","",""
"","survey-text","14","526748","0.0-7.0-1.3","2818","2316291","[object Object]","[object Object]","3","32783","","","{""Q0"":""intraction is will both somewhat discusses regarding acceing dispaly ""}",""
"","html-keyboard-response","15","528186","0.0-8.0","2818","2316291","[object Object]","[object Object]","3","1432","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you the original versions of videos of social interactions showing real people. <br /> Other participants will have watched skeleton versions showing stick-figures. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","32","",""
