"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","11926","0.0-0.0","712","7052103","[object Object]","[object Object]","1","","","","",""
"","html-keyboard-response","1","14303","0.0-1.0","712","7052103","[object Object]","[object Object]","1","2370","Welcome to the experiment. Press any key to begin.","13","",""
"","survey-text","2","18288","0.0-2.0","712","7052103","[object Object]","[object Object]","1","3982","","","{""Q0"":""A2WYCY1FMQOD5F""}",""
"","html-button-response","3","41740","0.0-3.0","712","7052103","[object Object]","[object Object]","1","23451","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","53689","0.0-4.0","712","7052103","[object Object]","[object Object]","1","11947","","","{""Q0"":""29"",""Q1"":""American"",""Q2"":""english"",""Q3"":""Associates""}",""
"","survey-likert","5","57631","0.0-5.0","712","7052103","[object Object]","[object Object]","1","3940","","","{""Q0"":0}",""
"","html-keyboard-response","6","75718","0.0-6.0","712","7052103","[object Object]","[object Object]","1","18083","<p>During this experiment you will be shown 4 short videos of skeletal figures representing children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","13","",""
"","video","7","108017","0.0-7.0-0.0","712","7052103","[object Object]","[object Object]","1","","[""clips/2017-07-06-101405806926-adjusting.mp4""]","","",""
"","survey-text","8","121704","0.0-7.0-1.0","712","7052103","[object Object]","[object Object]","1","13685","","","{""Q0"":""they seemed to be close and playing well together.""}",""
"","video","9","153646","0.0-7.0-0.1","712","7052103","[object Object]","[object Object]","1","","[""clips/2017-07-06-093740908665-demonstratemanhandle.mp4""]","","",""
"","survey-text","10","171673","0.0-7.0-1.1","712","7052103","[object Object]","[object Object]","1","18024","","","{""Q0"":""that they were playing together and at first were shy but warmed up after a while.""}",""
"","video","11","195469","0.0-7.0-0.2","712","7052103","[object Object]","[object Object]","1","","[""clips/2017-06-01-102743523980-jointtask.mp4""]","","",""
"","survey-text","12","209410","0.0-7.0-1.2","712","7052103","[object Object]","[object Object]","1","13939","","","{""Q0"":""seem to be working together and just working as a team.""}",""
"","video","13","240113","0.0-7.0-0.3","712","7052103","[object Object]","[object Object]","1","","[""clips/2017-06-27-105946305604-laughing.mp4""]","","",""
"","survey-text","14","254523","0.0-7.0-1.3","712","7052103","[object Object]","[object Object]","1","14407","","","{""Q0"":""they seem to be taking something away from each other and not sharing well.""}",""
"","html-keyboard-response","15","257889","0.0-8.0","712","7052103","[object Object]","[object Object]","1","3362","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you skeleton versions of videos of social interactions showing stick-men figures. <br /> Other participants will have watched the original videos of real people. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","13","",""
