"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","7009","0.0-0.0","2474","3585649","[object Object]","[object Object]","3","","","","",""
"","html-keyboard-response","1","10726","0.0-1.0","2474","3585649","[object Object]","[object Object]","3","3706","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","20579","0.0-2.0","2474","3585649","[object Object]","[object Object]","3","9849","","","{""Q0"":""A29GA9SMFNHAUW""}",""
"","html-button-response","3","36075","0.0-3.0","2474","3585649","[object Object]","[object Object]","3","15492","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","51442","0.0-4.0","2474","3585649","[object Object]","[object Object]","3","15362","","","{""Q0"":""28"",""Q1"":""USA"",""Q2"":""ENGLISH"",""Q3"":""MASTER DEGREE""}",""
"","survey-likert","5","81820","0.0-5.0","2474","3585649","[object Object]","[object Object]","3","30372","","","{""Q0"":0}",""
"","html-keyboard-response","6","88003","0.0-6.0","2474","3585649","[object Object]","[object Object]","3","6181","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","161597","0.0-7.0-0.0","2474","3585649","[object Object]","[object Object]","3","","[""clips/raw-2017-06-27-143652394670-turntaking.mp4""]","","",""
"","survey-text","8","192584","0.0-7.0-1.0","2474","3585649","[object Object]","[object Object]","3","30984","","","{""Q0"":""THE CHILDRENS PLAY A GAME WITH SMART COMPUTER.""}",""
"","video","9","430858","0.0-7.0-0.1","2474","3585649","[object Object]","[object Object]","3","","[""clips/raw-2017-06-01-102743523980-jointtask.mp4""]","","",""
"","survey-text","10","452725","0.0-7.0-1.1","2474","3585649","[object Object]","[object Object]","3","21862","","","{""Q0"":""THE BOYS PLAY WITH THE COMPUTER.\n""}",""
"","video","11","895853","0.0-7.0-0.2","2474","3585649","[object Object]","[object Object]","3","","[""clips/raw-2017-06-06-145135235899-independent.mp4""]","","",""
"","survey-text","12","961466","0.0-7.0-1.2","2474","3585649","[object Object]","[object Object]","3","65608","","","{""Q0"":""THE BOY AND GIRL PLAYING WITH THE COMPUTER""}",""
