"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","2515","0.0-0.0","9154","6859048","[object Object]","[object Object]","3","","","","",""
"","html-keyboard-response","1","6269","0.0-1.0","9154","6859048","[object Object]","[object Object]","3","3748","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","14508","0.0-2.0","9154","6859048","[object Object]","[object Object]","3","8235","","","{""Q0"":""A38HYUTYWWREGH""}",""
"","html-button-response","3","15850","0.0-3.0","9154","6859048","[object Object]","[object Object]","3","1338","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","30852","0.0-4.0","9154","6859048","[object Object]","[object Object]","3","15000","","","{""Q0"":""32"",""Q1"":""white"",""Q2"":""english"",""Q3"":""masters""}",""
"","survey-likert","5","33445","0.0-5.0","9154","6859048","[object Object]","[object Object]","3","2590","","","{""Q0"":0}",""
"","html-keyboard-response","6","34924","0.0-6.0","9154","6859048","[object Object]","[object Object]","3","1477","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","75915","0.0-7.0-0.0","9154","6859048","[object Object]","[object Object]","3","","[""clips/raw-2017-06-13-110008089945-fight.mp4""]","","",""
"","survey-text","8","85378","0.0-7.0-1.0","9154","6859048","[object Object]","[object Object]","3","9462","","","{""Q0"":""learning""}",""
"","video","9","119127","0.0-7.0-0.1","9154","6859048","[object Object]","[object Object]","3","","[""clips/raw-2017-06-23-104918496756-independent.mp4""]","","",""
"","survey-text","10","126914","0.0-7.0-1.1","9154","6859048","[object Object]","[object Object]","3","7785","","","{""Q0"":""studying""}",""
"","video","11","160495","0.0-7.0-0.2","9154","6859048","[object Object]","[object Object]","3","","[""clips/raw-2017-06-20-140956193720-showingfight.mp4""]","","",""
"","survey-text","12","193427","0.0-7.0-1.2","9154","6859048","[object Object]","[object Object]","3","32931","","","{""Q0"":""studying""}",""
"","video","13","233661","0.0-7.0-0.3","9154","6859048","[object Object]","[object Object]","3","","[""clips/raw-2017-07-05-102437565816-gestures.mp4""]","","",""
"","survey-text","14","244023","0.0-7.0-1.3","9154","6859048","[object Object]","[object Object]","3","10360","","","{""Q0"":""playing""}",""
"","html-keyboard-response","15","246024","0.0-8.0","9154","6859048","[object Object]","[object Object]","3","1997","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you the original versions of videos of social interactions showing real people. <br /> Other participants will have watched skeleton versions showing stick-figures. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","32","",""
