"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","30415","0.0-0.0","2456","326255","[object Object]","[object Object]","1","","","","",""
"","html-keyboard-response","1","33132","0.0-1.0","2456","326255","[object Object]","[object Object]","1","2709","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","35445","0.0-2.0","2456","326255","[object Object]","[object Object]","1","2312","","","{""Q0"":""APY5858P6BTDY""}",""
"","html-button-response","3","36686","0.0-3.0","2456","326255","[object Object]","[object Object]","1","1238","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","56422","0.0-4.0","2456","326255","[object Object]","[object Object]","1","19733","","","{""Q0"":""27"",""Q1"":""american"",""Q2"":""English"",""Q3"":""bachelors degree""}",""
"","survey-likert","5","58295","0.0-5.0","2456","326255","[object Object]","[object Object]","1","1871","","","{""Q0"":1}",""
"","html-keyboard-response","6","60698","0.0-6.0","2456","326255","[object Object]","[object Object]","1","2402","<p>During this experiment you will be shown 4 short videos of skeletal figures representing children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","131436","0.0-7.0-0.0","2456","326255","[object Object]","[object Object]","1","","[""clips/2017-06-26-112331105839-1task1watch.mp4""]","","",""
"","survey-text","8","185453","0.0-7.0-1.0","2456","326255","[object Object]","[object Object]","1","54014","","","{""Q0"":""they were fighting""}",""
"","video","9","240644","0.0-7.0-0.1","2456","326255","[object Object]","[object Object]","1","","[""clips/2017-06-29-105524492596-1task1watch.mp4""]","","",""
"","survey-text","10","249893","0.0-7.0-1.1","2456","326255","[object Object]","[object Object]","1","9246","","","{""Q0"":""they were playing""}",""
"","video","11","354694","0.0-7.0-0.2","2456","326255","[object Object]","[object Object]","1","","[""clips/2017-06-13-140354392253-laugh.mp4""]","","",""
"","survey-text","12","371877","0.0-7.0-1.2","2456","326255","[object Object]","[object Object]","1","17180","","","{""Q0"":""one of them was fighting the other""}",""
"","video","13","420209","0.0-7.0-0.3","2456","326255","[object Object]","[object Object]","1","","[""clips/2017-07-06-110834943320-thinking.mp4""]","","",""
