"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","5101","0.0-0.0","8682","6753480","[object Object]","[object Object]","3","","","","",""
"","html-keyboard-response","1","7278","0.0-1.0","8682","6753480","[object Object]","[object Object]","3","2164","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","18481","0.0-2.0","8682","6753480","[object Object]","[object Object]","3","11184","","","{""Q0"":""A1U7O93JY3WFMU""}",""
"","html-button-response","3","34901","0.0-3.0","8682","6753480","[object Object]","[object Object]","3","16414","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","52692","0.0-4.0","8682","6753480","[object Object]","[object Object]","3","17785","","","{""Q0"":""45"",""Q1"":""United States of America"",""Q2"":""English"",""Q3"":""Associate Degree""}",""
"","survey-likert","5","54915","0.0-5.0","8682","6753480","[object Object]","[object Object]","3","2215","","","{""Q0"":1}",""
"","html-keyboard-response","6","63104","0.0-6.0","8682","6753480","[object Object]","[object Object]","3","8184","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","75","",""
"","video","7","102901","0.0-7.0-0.0","8682","6753480","[object Object]","[object Object]","3","","[""clips/raw-2017-06-06-145135235899-independent.mp4""]","","",""
"","survey-text","8","157571","0.0-7.0-1.0","8682","6753480","[object Object]","[object Object]","3","54664","","","{""Q0"":""The girl seemed interested in watching what the boy was doing and maybe trying to correct his work or change his work.  The boy seemed only interested in what he was doing.""}",""
"","video","9","198392","0.0-7.0-0.1","8682","6753480","[object Object]","[object Object]","3","","[""clips/raw-2017-06-06-150808383862-fight.mp4""]","","",""
"","survey-text","10","258852","0.0-7.0-1.1","8682","6753480","[object Object]","[object Object]","3","60450","","","{""Q0"":""One boy seemed to be dominant and tried to control everything and only wanted things done the way he wanted.  The other boy was passive and would let the other boy take over.  This boy seemed happy though and didn't mind it.""}",""
"","video","11","295471","0.0-7.0-0.2","8682","6753480","[object Object]","[object Object]","3","","[""clips/raw-2017-07-06-101405806926-adjusting.mp4""]","","",""
"","survey-text","12","329879","0.0-7.0-1.2","8682","6753480","[object Object]","[object Object]","3","34404","","","{""Q0"":""The girl was dominant and took over the whole situation.  She only wanted to do what she wanted to do.  The boy gave into it.""}",""
"","video","13","364655","0.0-7.0-0.3","8682","6753480","[object Object]","[object Object]","3","","[""clips/raw-2017-06-26-112331105839-1task1watch.mp4""]","","",""
"","survey-text","14","399634","0.0-7.0-1.3","8682","6753480","[object Object]","[object Object]","3","34973","","","{""Q0"":""They seemed to play together really good.  The boy liked playing and watching the girls reaction.  The girl just liked watching the boy play.""}",""
"","html-keyboard-response","15","410259","0.0-8.0","8682","6753480","[object Object]","[object Object]","3","10619","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you the original versions of videos of social interactions showing real people. <br /> Other participants will have watched skeleton versions showing stick-figures. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","74","",""
