"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","2823","0.0-0.0","7087","9711141","[object Object]","[object Object]","4","","","","",""
"","html-keyboard-response","1","3608","0.0-1.0","7087","9711141","[object Object]","[object Object]","4","779","Welcome to the experiment. Press any key to begin.","27","",""
"","survey-text","2","5589","0.0-2.0","7087","9711141","[object Object]","[object Object]","4","1979","","","{""Q0"":""AMD5AS2ZWVTTK""}",""
"","html-button-response","3","6261","0.0-3.0","7087","9711141","[object Object]","[object Object]","4","670","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","27667","0.0-4.0","7087","9711141","[object Object]","[object Object]","4","21406","","","{""Q0"":""28"",""Q1"":""INDIAN"",""Q2"":""ENGLISH"",""Q3"":""BACHELLOR DEGREE""}",""
"","survey-likert","5","28543","0.0-5.0","7087","9711141","[object Object]","[object Object]","4","874","","","{""Q0"":1}",""
"","html-keyboard-response","6","39269","0.0-6.0","7087","9711141","[object Object]","[object Object]","4","10723","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","27","",""
"","video","7","224455","0.0-7.0-0.0","7087","9711141","[object Object]","[object Object]","4","","[""clips/raw-2017-05-18-152118060656-independentdistress.mp4""]","","",""
"","survey-text","8","239292","0.0-7.0-1.0","7087","9711141","[object Object]","[object Object]","4","14836","","","{""Q0"":""THE CHILDREN IS SAY THE GLASS IN PICS.""}",""
"","survey-text","9","246154","0.0-7.0-2.0","7087","9711141","[object Object]","[object Object]","4","6860","","","{""Q0"":""7""}",""
"","survey-likert","10","248623","0.0-7.0-3.0","7087","9711141","[object Object]","[object Object]","4","2469","","","{""Q0"":1}",""
"","survey-likert","11","251858","0.0-7.0-4.0","7087","9711141","[object Object]","[object Object]","4","3234","","","{""Q0"":0}",""
"","survey-likert","12","253885","0.0-7.0-5.0","7087","9711141","[object Object]","[object Object]","4","2025","","","{""Q0"":0}",""
"","survey-likert","13","257514","0.0-7.0-6.0","7087","9711141","[object Object]","[object Object]","4","3627","","","{""Q0"":4,""Q1"":4}",""
"","survey-likert","14","258961","0.0-7.0-7.0","7087","9711141","[object Object]","[object Object]","4","1446","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","15","260625","0.0-7.0-8.0","7087","9711141","[object Object]","[object Object]","4","1661","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","16","399840","0.0-7.0-9.0","7087","9711141","[object Object]","[object Object]","4","139213","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","17","400918","0.0-7.0-10.0","7087","9711141","[object Object]","[object Object]","4","1076","","","{""Q0"":4,""Q1"":4}",""
"","survey-likert","18","401928","0.0-7.0-11.0","7087","9711141","[object Object]","[object Object]","4","1008","","","{""Q0"":4,""Q1"":4}",""
"","survey-likert","19","403012","0.0-7.0-12.0","7087","9711141","[object Object]","[object Object]","4","1080","","","{""Q0"":4,""Q1"":4}",""
"","survey-likert","20","404546","0.0-7.0-13.0","7087","9711141","[object Object]","[object Object]","4","1533","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","21","406280","0.0-7.0-14.0","7087","9711141","[object Object]","[object Object]","4","1731","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","22","407197","0.0-7.0-15.0","7087","9711141","[object Object]","[object Object]","4","915","","","{""Q0"":4,""Q1"":4}",""
"","survey-likert","23","408757","0.0-7.0-16.0","7087","9711141","[object Object]","[object Object]","4","1557","","","{""Q0"":4,""Q1"":3}",""
"","video","24","602999","0.0-7.0-0.1","7087","9711141","[object Object]","[object Object]","4","","[""clips/raw-2017-06-06-150808383862-fight.mp4""]","","",""
"","survey-text","25","609938","0.0-7.0-1.1","7087","9711141","[object Object]","[object Object]","4","6935","","","{""Q0"":""THE CHILDREN ARE DRAWIMNG""}",""
"","survey-text","26","613819","0.0-7.0-2.1","7087","9711141","[object Object]","[object Object]","4","3879","","","{""Q0"":""8""}",""
"","survey-likert","27","626593","0.0-7.0-3.1","7087","9711141","[object Object]","[object Object]","4","12770","","","{""Q0"":0}",""
"","survey-likert","28","627700","0.0-7.0-4.1","7087","9711141","[object Object]","[object Object]","4","1105","","","{""Q0"":0}",""
"","survey-likert","29","629046","0.0-7.0-5.1","7087","9711141","[object Object]","[object Object]","4","1344","","","{""Q0"":0}",""
"","survey-likert","30","635765","0.0-7.0-6.1","7087","9711141","[object Object]","[object Object]","4","6718","","","{""Q0"":3,""Q1"":2}",""
"","survey-likert","31","636883","0.0-7.0-7.1","7087","9711141","[object Object]","[object Object]","4","1115","","","{""Q0"":3,""Q1"":2}",""
"","survey-likert","32","638164","0.0-7.0-8.1","7087","9711141","[object Object]","[object Object]","4","1279","","","{""Q0"":3,""Q1"":2}",""
"","survey-likert","33","639786","0.0-7.0-9.1","7087","9711141","[object Object]","[object Object]","4","1620","","","{""Q0"":2,""Q1"":3}",""
"","survey-likert","34","640709","0.0-7.0-10.1","7087","9711141","[object Object]","[object Object]","4","921","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","35","641936","0.0-7.0-11.1","7087","9711141","[object Object]","[object Object]","4","1225","","","{""Q0"":3,""Q1"":2}",""
"","survey-likert","36","643189","0.0-7.0-12.1","7087","9711141","[object Object]","[object Object]","4","1249","","","{""Q0"":3,""Q1"":3}",""
"","survey-likert","37","644214","0.0-7.0-13.1","7087","9711141","[object Object]","[object Object]","4","1023","","","{""Q0"":4,""Q1"":3}",""
"","survey-likert","38","645582","0.0-7.0-14.1","7087","9711141","[object Object]","[object Object]","4","1367","","","{""Q0"":3,""Q1"":4}",""
"","survey-likert","39","647157","0.0-7.0-15.1","7087","9711141","[object Object]","[object Object]","4","1572","","","{""Q0"":3,""Q1"":2}",""
"","survey-likert","40","648365","0.0-7.0-16.1","7087","9711141","[object Object]","[object Object]","4","1204","","","{""Q0"":3,""Q1"":2}",""
