"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","8573","0.0-0.0","3600","7378179","[object Object]","[object Object]","1","","","","",""
"","html-keyboard-response","1","10374","0.0-1.0","3600","7378179","[object Object]","[object Object]","1","1791","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","26576","0.0-2.0","3600","7378179","[object Object]","[object Object]","1","16202","","","{""Q0"":""A316NPK57UTIRF""}",""
"","html-button-response","3","66247","0.0-3.0","3600","7378179","[object Object]","[object Object]","1","39658","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","86350","0.0-4.0","3600","7378179","[object Object]","[object Object]","1","20097","","","{""Q0"":""33"",""Q1"":""Indonesia"",""Q2"":""Javanese"",""Q3"":""Bachelor degree""}",""
"","survey-likert","5","89367","0.0-5.0","3600","7378179","[object Object]","[object Object]","1","3011","","","{""Q0"":0}",""
"","html-keyboard-response","6","105954","0.0-6.0","3600","7378179","[object Object]","[object Object]","1","16585","<p>During this experiment you will be shown 4 short videos of skeletal figures representing children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","135725","0.0-7.0-0.0","3600","7378179","[object Object]","[object Object]","1","","[""clips/2017-06-23-104918496756-independent.mp4""]","","",""
"","survey-text","8","183020","0.0-7.0-1.0","3600","7378179","[object Object]","[object Object]","1","47289","","","{""Q0"":""They are playing a game, it's kind of card or chess or something look fun""}",""
"","video","9","213571","0.0-7.0-0.1","3600","7378179","[object Object]","[object Object]","1","","[""clips/2017-06-13-140354392253-laugh.mp4""]","","",""
"","survey-text","10","273005","0.0-7.0-1.1","3600","7378179","[object Object]","[object Object]","1","59428","","","{""Q0"":""They seem touching something. It could be animal, cat, or puppy, looks like something cute""}",""
"","video","11","309101","0.0-7.0-0.2","3600","7378179","[object Object]","[object Object]","1","","[""clips/2017-07-06-110834943320-thinking.mp4""]","","",""
"","survey-text","12","328812","0.0-7.0-1.2","3600","7378179","[object Object]","[object Object]","1","19706","","","{""Q0"":""They are playing game: chess perhaps""}",""
"","video","13","361733","0.0-7.0-0.3","3600","7378179","[object Object]","[object Object]","1","","[""clips/2017-06-16-110134843091-turntaking.mp4""]","","",""
"","survey-text","14","426440","0.0-7.0-1.3","3600","7378179","[object Object]","[object Object]","1","64701","","","{""Q0"":""they seemed touching and moving something tiny, perhaps playing chess. But I'm not sure.""}",""
"","html-keyboard-response","15","445256","0.0-8.0","3600","7378179","[object Object]","[object Object]","1","18810","<p>Debrief.<br /> This study examines what types of information humans can gain from observing people's movements in a social interaction. <br /> We showed you skeleton versions of videos of social interactions showing stick-men figures. <br /> Other participants will have watched the original videos of real people. <br /> We want to know what people can work out about the interaction from watching the stick figures (movement only) compared to the original videos. <br /> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <br /> Press any key to continue. </p>","32","",""
