"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","surveyCode","mturkID","Demographics","condition","rt","stimulus","key_press","responses","button_pressed"
"true","fullscreen","0","5727","0.0-0.0","4291","8323806","[object Object]","[object Object]","4","","","","",""
"","html-keyboard-response","1","10981","0.0-1.0","4291","8323806","[object Object]","[object Object]","4","5251","Welcome to the experiment. Press any key to begin.","32","",""
"","survey-text","2","23366","0.0-2.0","4291","8323806","[object Object]","[object Object]","4","12382","","","{""Q0"":""A1GTYHV8OYQQLV""}",""
"","html-button-response","3","43093","0.0-3.0","4291","8323806","[object Object]","[object Object]","4","19725","<p> Consent Form. <p><p> In this experiment you will watch videos of children interacting.<p><p> You will be asked questions about each video that you watch. <p><p> Your responses will be anonymised and saved at the end of the experiment.<p><p> You can withdraw from the experiment any time without penalty or loss of benefits to which you are otherwise entitled. You can withdraw by pressing the ESC button during the experiment, or by contacting the researchers after completing the experiment. <p><p> If you have any questions please contact Severin Lemaignan at severin.lemaignan@uwe.ac.uk <p><p> <p><p> Please indicate below if you consent to participate in this study. (If you choose not to consent, press ESC to leave the experiment window.) <p>","","","0"
"","survey-text","4","76398","0.0-4.0","4291","8323806","[object Object]","[object Object]","4","33304","","","{""Q0"":""70"",""Q1"":""American"",""Q2"":""English"",""Q3"":""some college no degree""}",""
"","survey-likert","5","80502","0.0-5.0","4291","8323806","[object Object]","[object Object]","4","4104","","","{""Q0"":0}",""
"","html-keyboard-response","6","92300","0.0-6.0","4291","8323806","[object Object]","[object Object]","4","11797","<p>During this experiment you will be shown 4 short videos of children interacting.</p><p> Pay particular attention to the way the children interact. </p><p> After each video you will be asked some questions about what you have watched. <p/><p>Press any key to begin.</p>","32","",""
"","video","7","127901","0.0-7.0-0.0","4291","8323806","[object Object]","[object Object]","4","","[""clips/raw-2017-07-06-093740908665-demonstratemanhandle.mp4""]","","",""
"","survey-text","8","240005","0.0-7.0-1.0","4291","8323806","[object Object]","[object Object]","4","112102","","","{""Q0"":""One boy seemed to be a bit shy while the other was more reaching out.\nBoth seemed to be enjoying themselves. ""}",""
"","survey-text","9","256509","0.0-7.0-2.0","4291","8323806","[object Object]","[object Object]","4","16503","","","{""Q0"":""5""}",""
"","survey-likert","10","267645","0.0-7.0-3.0","4291","8323806","[object Object]","[object Object]","4","11135","","","{""Q0"":0}",""
"","survey-likert","11","281277","0.0-7.0-4.0","4291","8323806","[object Object]","[object Object]","4","13631","","","{""Q0"":0}",""
"","survey-likert","12","289758","0.0-7.0-5.0","4291","8323806","[object Object]","[object Object]","4","8479","","","{""Q0"":2}",""
"","survey-likert","13","306318","0.0-7.0-6.0","4291","8323806","[object Object]","[object Object]","4","16560","","","{""Q0"":1,""Q1"":3}",""
"","survey-likert","14","337134","0.0-7.0-7.0","4291","8323806","[object Object]","[object Object]","4","30814","","","{""Q0"":3,""Q1"":2}",""
